,district,state,abbreviation,state_dist,year,laborforce_unemployed,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,Less_than_10000,Median_household_income,No_health_insurance,non_fam_household,college_enroll,vet_percent,diff_house_1year,foreign_born,ForeignNotCit,ForeignCit,home_lang_not_english,own_computer,total_pop,median_age,white_pct,black_pct,amer_ind,asianpac,hispanic_pct,PctU20,Pct20t45,Pct45t65,Pct65plus,U25k,r25k_50k,r50k_100k,r100k_200k,r200kplus,NoHighSchool,HighSchoolEd,SomeCollege,BachelorsOrHigher,pct_won,party,pctDem
272,12,Florida,FL,FL-12,2014,3.5,81.7,7.1,0.5,1.0,2.4,39.7,17.2,27.8,7.6,7.7,83.0,11.7,5.9,50835,12.6,34.2,24.6,11.7,11.5,10.7,4.0446,6.6554,16.2,85.9,729937,44.6,88.0,5.2,0.2,2.9,13.0,22.5,27.9,27.9,21.5,23.4,25.7,29.3,17.2,4.3,10.0,29.6,32.2,28.2,0.0,R,0.0
274,14,Florida,FL,FL-14,2014,5.3,78.6,8.5,2.6,1.7,3.4,33.7,20.7,27.0,8.3,10.3,84.5,10.6,9.3,43758,17.7,43.7,28.9,8.1,18.6,17.8,9.612,8.187999999999999,30.6,84.3,757963,36.1,62.6,25.2,0.4,3.6,29.0,24.4,37.9,25.0,12.7,28.4,27.3,27.5,13.3,3.3,15.3,28.8,28.9,27.0,100.0,D,100.0
285,25,Florida,FL,FL-25,2014,4.0,79.6,9.6,2.3,1.0,1.1,29.0,18.6,28.0,13.0,11.5,84.0,9.4,7.4,49544,22.7,22.5,27.1,3.0,9.4,52.5,24.4125,28.0875,72.4,85.3,745358,39.5,85.5,7.3,0.2,2.3,70.8,24.0,33.8,26.4,15.7,26.0,24.4,29.9,16.1,3.7,18.9,29.0,25.5,26.6,0.0,R,0.0
287,27,Florida,FL,FL-27,2014,4.9,77.7,9.0,5.4,2.1,1.7,32.0,20.1,27.1,10.5,10.3,82.8,8.3,9.6,43957,21.3,31.5,31.3,2.3,9.8,55.4,26.7582,28.6418,76.6,81.1,760443,39.9,87.3,7.2,0.1,1.8,76.1,22.9,34.8,25.9,16.4,30.5,24.3,24.1,13.9,7.1,20.2,28.5,22.1,29.2,0.0,R,0.0
324,24,Florida,FL,FL-24,2018,3.8,77.7,7.6,7.5,1.3,3.4,25.8,26.8,24.7,10.5,12.3,81.3,11.2,10.4,42147,20.9,33.8,29.1,2.7,11.3,44.0,18.656,25.344,57.7,92.6,784469,36.8,43.0,47.4,0.0,1.5,42.2,25.0,36.1,25.3,13.8,30.3,27.6,28.3,10.5,3.2,19.7,32.3,25.7,22.2,100.0,D,100.0
328,21,Florida,FL,FL-21,2018,3.2,77.6,10.5,1.4,1.0,2.5,35.1,24.5,23.6,8.8,8.0,84.0,8.5,5.5,60316,13.7,38.7,28.2,6.7,13.1,28.2,13.4232,14.7768,37.2,94.1,785042,45.9,76.6,15.4,0.3,3.0,25.2,19.5,28.6,25.4,25.8,19.5,22.4,30.1,19.8,8.2,11.7,25.1,27.4,35.7,100.0,D,100.0
332,10,Florida,FL,FL-10,2018,3.1,80.5,10.6,2.2,0.9,2.3,33.3,20.4,26.1,9.4,10.8,86.6,8.8,6.5,56262,13.9,31.3,25.1,5.7,16.6,24.5,12.0295,12.4705,35.7,95.1,839504,35.3,57.1,28.3,0.5,5.0,28.4,26.2,37.3,24.5,11.7,19.8,24.7,30.3,19.3,5.9,11.9,25.7,29.4,33.2,100.0,D,100.0
340,14,Florida,FL,FL-14,2018,3.5,77.3,9.8,2.0,1.6,2.1,40.2,18.7,24.3,7.4,9.3,83.6,11.2,7.2,55729,13.2,42.1,32.8,6.9,20.0,21.8,11.0962,10.7038,34.2,94.8,782973,36.3,67.9,18.0,0.2,4.6,31.9,24.2,37.4,24.6,13.4,22.9,22.3,27.8,18.4,8.7,11.0,26.3,25.2,37.5,100.0,D,100.0
344,3,Georgia,GA,GA-3,2014,5.2,82.1,11.3,0.6,1.0,1.7,32.0,17.5,25.3,9.9,15.4,78.1,16.6,8.5,49833,13.4,28.8,23.3,10.5,15.7,5.2,2.7872,2.4128,7.0,84.5,725530,37.0,69.4,24.4,0.2,2.1,5.2,28.1,32.5,25.8,13.7,24.8,25.5,30.5,16.1,3.4,14.4,30.8,30.2,24.5,0.0,R,0.0
346,5,Georgia,GA,GA-5,2014,7.2,69.2,8.9,10.0,4.0,1.7,46.7,15.9,22.9,4.3,10.1,80.4,14.8,11.2,44411,16.9,52.7,41.5,5.9,21.3,8.6,5.2202,3.3798,12.8,84.6,738016,33.5,33.1,58.1,0.2,4.4,6.6,24.4,42.5,22.7,10.5,30.1,24.8,24.5,14.4,6.2,12.7,22.2,24.9,40.1,100.0,D,100.0
352,11,Georgia,GA,GA-11,2014,4.4,78.1,10.0,1.1,0.9,3.0,40.6,16.0,26.1,8.2,9.0,83.0,11.2,4.5,65837,14.9,30.5,26.6,8.1,17.6,12.3,7.6506,4.6494,15.8,93.0,725169,35.9,73.1,17.6,0.1,3.4,10.8,27.1,35.9,26.1,11.0,15.8,21.6,32.9,22.0,7.8,10.9,22.3,27.9,38.8,0.0,R,0.0
354,13,Georgia,GA,GA-13,2014,6.4,80.3,10.9,1.9,0.9,1.4,33.3,16.4,26.6,8.5,15.0,80.8,14.3,6.2,51358,16.7,28.7,23.4,9.8,13.8,11.7,6.2478,5.4522,16.3,89.4,741383,35.1,34.2,56.7,0.1,2.4,12.4,30.5,34.7,25.3,9.6,22.5,25.7,33.5,15.2,3.1,13.5,29.6,30.4,26.4,100.0,D,100.0
355,14,Georgia,GA,GA-14,2014,4.5,84.9,8.6,0.2,1.6,1.3,27.2,15.4,25.2,10.9,21.3,81.7,13.3,7.3,46170,15.3,26.6,19.7,7.8,11.2,7.2,4.932,2.268,11.0,81.0,700856,37.2,85.0,9.7,0.2,1.0,11.0,28.2,32.9,25.5,13.5,26.8,27.0,30.6,13.4,2.1,20.0,33.6,29.0,17.4,0.0,R,0.0
364,9,Georgia,GA,GA-9,2016,2.3,82.2,10.3,0.3,1.1,1.1,29.9,16.5,24.1,11.4,18.1,81.7,12.3,7.3,50154,14.3,28.5,21.5,8.4,11.6,7.6,5.4872,2.1128,13.3,84.9,736075,40.8,87.2,7.2,0.2,1.1,12.4,25.9,29.4,26.9,17.8,24.5,25.4,31.4,15.8,3.0,19.2,32.9,26.3,21.6,0.0,R,0.0
368,13,Georgia,GA,GA-13,2016,4.6,79.7,9.5,2.6,0.8,1.7,33.6,17.5,25.8,8.1,15.0,79.2,15.8,5.9,57342,12.7,30.3,20.8,9.3,16.9,10.6,6.095,4.505,15.6,94.0,746218,35.2,30.5,59.6,0.1,2.8,10.3,29.6,34.5,25.1,11.0,20.4,23.2,35.3,17.8,3.4,10.5,28.4,31.5,29.6,100.0,D,100.0
369,14,Georgia,GA,GA-14,2016,3.4,83.5,9.7,0.3,0.9,1.0,27.5,15.3,23.6,11.8,21.7,83.1,11.7,6.5,48691,13.1,26.9,19.2,7.9,12.3,7.2,4.8456,2.3544,11.3,87.5,710176,38.1,84.4,9.5,0.6,1.1,11.6,27.7,31.7,25.6,14.9,24.7,26.2,32.5,14.2,2.4,19.7,32.9,29.3,18.1,0.0,R,0.0
372,5,Georgia,GA,GA-5,2018,3.8,67.2,7.5,9.8,3.9,3.5,46.7,16.3,20.6,3.7,12.6,82.3,12.6,9.4,57270,13.0,52.9,39.3,5.2,17.8,9.0,5.0760000000000005,3.924,11.8,91.7,793039,32.9,31.7,58.8,0.2,4.0,6.6,25.7,42.7,21.6,11.0,24.2,20.5,28.3,18.4,8.6,9.3,24.5,21.5,44.6,100.0,D,100.0
373,8,Georgia,GA,GA-8,2018,2.7,85.4,9.2,0.1,1.1,1.9,31.2,16.9,22.7,12.0,17.2,75.6,19.5,10.6,45710,15.0,35.9,26.2,9.2,12.4,4.5,2.7,1.8,8.1,85.5,714720,36.9,62.5,31.4,0.3,1.9,6.6,25.7,32.7,25.0,15.3,28.5,25.4,27.5,14.4,4.0,14.0,33.6,30.2,22.2,0.0,R,0.0
417,4,Illinois,IL,IL-4,2016,4.5,59.7,11.1,19.6,3.1,3.5,27.2,21.4,21.4,8.2,21.8,86.8,7.9,5.6,51383,15.7,31.6,23.4,2.3,10.6,33.5,20.435,13.065,68.9,86.7,695098,33.2,55.4,3.8,0.6,3.7,70.1,28.0,40.2,22.4,9.4,21.7,26.5,30.8,17.2,3.9,26.9,27.6,21.0,24.5,100.0,D,100.0
428,15,Illinois,IL,IL-15,2016,3.3,83.7,7.6,0.5,2.3,1.2,31.5,17.2,21.6,11.1,18.7,78.1,14.1,7.6,49927,5.4,34.9,22.9,8.8,12.7,1.7,0.9384,0.7616,4.3,83.8,700549,40.5,92.6,4.5,0.2,0.6,2.7,25.2,30.3,26.6,18.0,25.0,25.0,32.2,15.5,2.4,10.4,34.1,35.3,20.2,0.0,R,0.0
508,2,Kentucky,KY,KY-2,2016,3.3,83.4,10.3,0.3,1.5,1.5,29.6,15.7,23.1,10.5,21.1,81.2,13.9,7.6,49960,4.1,33.0,27.0,10.1,16.5,3.3,1.7688,1.5312,4.9,86.5,754967,38.4,89.0,5.8,0.4,1.5,3.2,26.9,31.6,26.5,15.1,23.7,26.2,31.9,14.8,3.1,12.9,33.9,32.3,20.8,0.0,R,0.0
511,5,Kentucky,KY,KY-5,2016,4.2,83.8,10.0,0.3,2.1,1.1,29.7,18.8,22.8,10.0,18.7,76.6,17.0,17.6,30585,5.4,32.2,20.4,6.5,10.8,0.9,0.5769,0.3231,1.7,75.3,703315,41.0,96.8,1.5,0.3,0.3,1.5,24.8,30.2,27.9,16.9,43.5,25.0,22.2,7.7,1.8,23.7,37.5,26.4,12.4,0.0,R,0.0
704,3,Nebraska,NE,NE-3,2016,2.4,80.2,9.8,0.2,3.4,1.4,31.5,17.1,21.6,12.6,17.2,76.7,14.9,6.7,50985,9.1,36.4,21.0,8.6,14.0,5.4,3.4452,1.9548,9.5,85.9,606926,39.8,92.9,1.1,0.9,0.7,12.1,27.1,28.7,25.8,18.4,22.7,26.3,33.0,15.2,2.9,10.4,31.1,36.4,22.2,0.0,R,0.0
879,3,North Carolina,NC,NC-3,2018,3.6,80.9,10.3,0.4,3.1,1.1,34.3,20.6,21.0,10.5,13.6,71.5,22.0,7.7,50333,10.9,33.1,25.1,14.4,16.0,3.6,1.6524,1.9476,7.3,92.3,756375,37.9,72.5,20.3,0.5,1.5,8.1,24.7,33.1,24.7,17.5,23.4,26.0,32.4,15.4,2.7,11.8,27.8,35.5,24.9,0.0,R,0.0
900,7,Ohio,OH,OH-7,2014,3.8,82.2,9.6,0.7,2.1,1.4,29.2,17.0,22.6,10.1,21.1,84.4,9.7,6.9,48962,10.5,31.2,22.9,9.1,12.6,1.8,0.9126,0.8874,7.9,80.9,725548,41.0,92.3,3.8,0.1,0.6,2.3,25.9,29.0,27.9,17.2,23.7,27.5,32.8,13.8,2.2,13.2,41.7,26.7,18.5,0.0,R,0.0
942,1,Oklahoma,OK,OK-1,2014,3.4,82.4,10.1,0.6,1.5,1.5,37.1,15.9,25.4,9.1,12.4,84.8,10.3,6.6,51271,14.5,34.9,21.8,8.3,18.0,7.5,5.2725,2.2275,12.1,86.5,781067,36.0,71.9,8.5,5.4,2.4,10.7,27.7,33.7,25.1,13.4,22.6,25.9,31.5,15.8,4.2,11.1,27.4,32.0,29.5,0.0,R,0.0
947,1,Oklahoma,OK,OK-1,2016,3.9,82.6,9.8,0.5,1.1,1.7,36.4,16.1,26.2,9.3,12.0,84.4,10.1,7.5,52319,13.3,35.5,22.2,8.2,17.1,7.9,5.3562,2.5438,12.7,90.8,796981,36.2,70.8,8.6,5.9,3.1,11.0,27.6,33.4,25.0,14.1,22.6,25.0,29.5,18.2,4.7,10.4,27.4,32.0,30.2,0.0,R,0.0
985,14,Pennsylvania,PA,PA-14,2014,5.2,64.9,9.5,13.1,6.6,2.3,39.8,20.6,23.8,6.1,9.6,86.3,9.5,11.3,42155,8.3,49.0,41.3,7.8,15.5,5.2,3.0108,2.1892,7.2,80.6,701362,38.7,71.4,21.5,0.2,3.3,2.3,20.8,35.9,26.9,16.2,31.8,25.2,28.4,12.1,2.6,7.8,33.2,27.6,31.3,100.0,D,100.0
986,15,Pennsylvania,PA,PA-15,2014,4.9,80.8,8.4,1.8,3.5,1.4,35.0,16.6,25.9,7.9,14.7,86.5,8.9,5.1,60009,8.6,33.1,28.1,8.2,11.8,7.2,3.312,3.888,16.0,84.6,722560,40.7,83.5,4.8,0.3,2.3,15.3,24.6,31.2,27.9,16.4,18.4,22.5,34.9,19.7,4.5,10.7,35.8,25.9,27.6,0.0,R,0.0
989,18,Pennsylvania,PA,PA-18,2014,2.8,82.5,6.9,3.2,2.1,0.6,40.8,14.7,24.7,9.3,10.4,87.0,7.8,4.4,60233,5.1,34.8,23.8,8.4,9.1,3.4,1.6456,1.7544,4.6,83.5,712014,44.2,93.8,2.5,0.1,2.0,1.4,21.7,29.4,29.9,18.9,18.7,22.3,31.7,21.5,5.7,6.0,34.4,24.8,34.6,0.0,R,0.0
992,3,Pennsylvania,PA,PA-3,2016,3.2,81.4,9.0,0.9,3.2,1.0,33.5,20.8,21.8,8.6,15.3,85.2,10.3,6.2,51289,4.8,35.9,25.6,9.3,12.0,3.0,1.5630000000000002,1.4369999999999998,5.4,85.4,693850,43.3,91.8,4.6,0.1,1.2,2.3,23.1,28.9,29.4,18.7,23.2,25.2,31.5,16.1,4.0,8.6,40.4,24.4,26.5,0.0,R,0.0
1002,13,Pennsylvania,PA,PA-13,2016,4.7,71.2,9.9,11.5,2.8,1.2,40.8,19.2,22.7,7.1,10.1,86.2,9.0,6.4,60105,7.7,35.2,23.9,5.6,11.8,19.1,9.0916,10.0084,26.2,88.3,731754,37.7,62.0,20.1,0.4,8.6,12.3,25.3,33.4,25.8,15.6,20.4,22.5,30.0,21.4,5.7,12.1,29.7,22.9,35.3,100.0,D,100.0
1007,18,Pennsylvania,PA,PA-18,2016,2.8,80.6,8.0,3.7,1.9,0.7,40.8,16.5,24.9,7.5,10.3,86.3,8.8,4.4,63825,3.0,33.4,22.3,8.8,9.4,3.5,1.883,1.617,4.7,88.1,707100,44.4,93.0,2.6,0.1,2.1,1.2,22.2,28.6,29.1,20.2,17.9,21.1,31.6,23.4,6.2,5.5,32.1,25.9,36.5,0.0,R,0.0
1015,18,Pennsylvania,PA,PA-18,2018,2.8,66.0,8.2,12.8,5.8,1.6,44.6,19.1,20.3,6.2,9.9,86.6,9.4,8.9,52307,4.4,49.8,40.2,6.9,14.3,6.2,3.2674,2.9326,8.8,89.6,683571,38.7,74.0,17.9,0.2,4.2,2.5,20.2,35.6,24.9,18.7,25.3,22.4,28.7,18.5,5.1,5.8,28.0,27.1,39.0,100.0,D,100.0
1086,4,Texas,TX,TX-4,2014,4.3,82.0,10.7,0.1,1.3,1.9,31.4,16.9,23.3,12.3,16.2,77.4,15.4,7.6,48654,16.5,27.4,19.2,9.8,14.3,6.7,4.4354,2.2646,12.0,80.7,719372,39.3,80.9,10.3,0.6,0.9,13.6,27.7,29.8,26.5,16.1,26.0,24.8,30.6,15.8,2.8,14.4,33.2,32.7,19.7,0.0,R,0.0
1121,8,Texas,TX,TX-8,2016,2.9,82.0,8.8,0.7,1.1,1.4,37.0,16.9,24.6,11.4,10.1,78.0,13.1,5.0,64861,14.1,26.6,22.5,7.8,14.2,12.5,8.0,4.5,20.7,92.4,813519,37.2,83.0,9.0,0.6,2.7,21.6,27.6,33.0,26.1,13.4,16.9,21.6,29.8,22.2,9.6,13.0,27.7,29.2,30.1,0.0,R,0.0
